name,offerBy,difficulty,skills,rating,reviews,link,photo
IBM Data Science,IBM,Beginner,"['Data Science', 'Statistical Analysis', 'Machine Learning', 'Python Programming', 'Business Intelligence', 'Data Analysis', 'Pandas', 'Numpy', 'Cloud Databases', 'Ipython', 'Relational Database Management System (RDBMS)', 'SQL']",4.6,143196.0,https://www.coursera.org/professional-certificates/ibm-data-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ed/4131809fe511e8937a7926bc59e37f/Professional-Certificate---Data-Science---600x600---Blu-Text.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Data Science,Johns Hopkins University,Beginner,"['Github', 'Machine Learning', 'R Programming', 'Regression Analysis', 'Data Science', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']",4.5,80142.0,https://www.coursera.org/specializations/jhu-data-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/eb/8e18e0a4f111e59ae9c776a3dd0526/jhu-logo-thumb.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Applied Data Science with Python,University of Michigan,Intermediate,"['Text Mining', 'Python Programming', 'Pandas', 'Matplotlib', 'Numpy', 'Data Cleansing', 'Data Virtualization', 'Data Visualization (DataViz)', 'Machine Learning (ML) Algorithms', 'Machine Learning', 'Scikit-Learn', 'Natural Language Toolkit (NLTK)']",4.5,40264.0,https://www.coursera.org/specializations/data-science-python,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/c8/8d6df01eb311e6b5f5f786b289d8ba/pythondatascience_specialization_final.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Introduction to Data Science,IBM,Beginner,"['Data Science', 'Relational Database Management System (RDBMS)', 'Cloud Databases', 'Python Programming', 'SQL', 'Ipython']",4.6,88310.0,https://www.coursera.org/specializations/introduction-data-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/32/d719a2d0d946d59e1151bc10ec29f5/Specialization-Certificate-Emblem---IDS---600x600.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Data Science: Foundations using R,Johns Hopkins University,Beginner,"['Data Science', 'Machine Learning', 'Github', 'R Programming', 'Exploratory Data Analysis', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']",4.6,66656.0,https://www.coursera.org/specializations/data-science-foundations-r,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/b6/e4931fd75a409c9a6dfae9ad95f903/Data-Science-Fundementals-in-Research.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Python for Everybody,University of Michigan,Beginner,"['Json', 'Xml', 'Python Programming', 'Database (DBMS)', 'Python Syntax And Semantics', 'Basic Programming Language', 'Computer Programming', 'Data Structure', 'Tuple', 'Web Scraping', 'Sqlite', 'SQL']",4.8,315570.0,https://www.coursera.org/specializations/python,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/python.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Data Science: Statistics and Machine Learning,Johns Hopkins University,Intermediate,"['Machine Learning', 'Github', 'R Programming', 'Regression Analysis', 'Data Visualization (DataViz)', 'Statistics', 'Statistical Inference', 'Statistical Hypothesis Testing', 'Model Selection', 'Generalized Linear Model', 'Linear Regression', 'Random Forest']",4.5,13486.0,https://www.coursera.org/specializations/data-science-statistics-machine-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/df/0e03b6513a44e98f4a389e0ef61a42/Data-Science-Statistics-and-Machine-Learning.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
What is Data Science?,IBM,Beginner,,4.7,,https://www.coursera.org/learn/what-is-datascience,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/16/d602b00a6c11e88d594f951694ab88/Data-Science-Orientation.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Applied Data Science,IBM,Beginner,"['Data Science', 'Machine Learning', 'Python Programming', 'Data Analysis', 'Data Visualization (DataViz)', 'Pandas', 'Numpy', 'Predictive Modelling', 'Model Selection', 'Data Virtualization', 'Matplotlib']",4.6,44842.0,https://www.coursera.org/specializations/applied-data-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/8b/61b3208e9411e8bd0e199d89262fda/Applied_Data_Science.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Advanced Data Science with IBM,IBM,Advanced,"['Data Science', 'Internet Of Things (IOT)', 'Deep Learning', 'Apache Spark', 'Statistics', 'Machine Learning', 'Long Short-Term Memory (ISTM)']",4.5,4012.0,https://www.coursera.org/specializations/advanced-data-science-ibm,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/58/ab336088f511e8944e7b54193638b4/Specialization_Certificate_Emblem_-_AADS_-__Final.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
